# This is an input file for the tower top force time-series in the TMD module of ServoDyn
# Time, Fx, Fy, Fz, Mx, My, Mz
# (s) (N) (N) (N) (N-m) (N-m) (N-m)
35.30 1478785.58   0.00   0.00   0.00   0.00 371662.00
35.40 1481082.22   0.00   0.00   0.00   0.00 370933.87
35.50 1483364.18   0.00   0.00   0.00   0.00 370181.00
35.60 1485631.45   0.00   0.00   0.00   0.00 369403.35
35.70 1487884.00   0.00   0.00   0.00   0.00 368600.87
35.80 1490121.80   0.00   0.00   0.00   0.00 367773.50
35.90 1492344.84   0.00   0.00   0.00   0.00 366921.21
36.00 1494553.08   0.00   0.00   0.00   0.00 366043.94
36.10 1496746.52   0.00   0.00   0.00   0.00 365141.64
36.20 1498925.13   0.00   0.00   0.00   0.00 364214.29
36.30 1501088.88   0.00   0.00   0.00   0.00 363261.82
36.40 1503237.76   0.00   0.00   0.00   0.00 362284.20
36.50 1505371.75   0.00   0.00   0.00   0.00 361281.39
36.60 1507490.81   0.00   0.00   0.00   0.00 360253.36
36.70 1509594.94   0.00   0.00   0.00   0.00 359200.06
36.80 1511684.11   0.00   0.00   0.00   0.00 358121.46
36.90 1513758.30   0.00   0.00   0.00   0.00 357017.53
37.00 1515817.49   0.00   0.00   0.00   0.00 355888.24
37.10 1517861.66   0.00   0.00   0.00   0.00 354733.54
37.20 1519890.79   0.00   0.00   0.00   0.00 353553.42
37.30 1521904.85   0.00   0.00   0.00   0.00 352347.85
37.40 1523903.84   0.00   0.00   0.00   0.00 351116.79
37.50 1525887.73   0.00   0.00   0.00   0.00 349860.23
37.60 1527856.49   0.00   0.00   0.00   0.00 348578.14
37.70 1529810.12   0.00   0.00   0.00   0.00 347270.49
37.80 1531748.58   0.00   0.00   0.00   0.00 345937.28
37.90 1533671.87   0.00   0.00   0.00   0.00 344578.47
38.00 1535579.96   0.00   0.00   0.00   0.00 343194.05
38.10 1537472.84   0.00   0.00   0.00   0.00 341784.01
38.20 1539350.48   0.00   0.00   0.00   0.00 340348.32
38.30 1541212.86   0.00   0.00   0.00   0.00 338886.98
38.40 1543059.98   0.00   0.00   0.00   0.00 337399.98
38.50 1544891.80   0.00   0.00   0.00   0.00 335887.29
38.60 1546708.31   0.00   0.00   0.00   0.00 334348.93
38.70 1548509.50   0.00   0.00   0.00   0.00 332784.87
38.80 1550295.35   0.00   0.00   0.00   0.00 331195.11
38.90 1552065.83   0.00   0.00   0.00   0.00 329579.66
39.00 1553820.93   0.00   0.00   0.00   0.00 327938.49
39.10 1555560.63   0.00   0.00   0.00   0.00 326271.63
39.20 1557284.92   0.00   0.00   0.00   0.00 324579.05
39.30 1558993.78   0.00   0.00   0.00   0.00 322860.78
39.40 1560687.19   0.00   0.00   0.00   0.00 321116.80
39.50 1562365.14   0.00   0.00   0.00   0.00 319347.13
39.60 1564027.60   0.00   0.00   0.00   0.00 317551.76
39.70 1565674.56   0.00   0.00   0.00   0.00 315730.72
39.80 1567306.01   0.00   0.00   0.00   0.00 313884.01
39.90 1568921.93   0.00   0.00   0.00   0.00 312011.63
40.00 1570522.31   0.00   0.00   0.00   0.00 310113.61
40.10 1572107.12   0.00   0.00   0.00   0.00 308189.96
40.20 1573676.35   0.00   0.00   0.00   0.00 306240.69
40.30 1575229.99   0.00   0.00   0.00   0.00 304265.81
40.40 1576768.01   0.00   0.00   0.00   0.00 302265.36
40.50 1578290.42   0.00   0.00   0.00   0.00 300239.35
40.60 1579797.18   0.00   0.00   0.00   0.00 298187.79
40.70 1581288.29   0.00   0.00   0.00   0.00 296110.72
40.80 1582763.73   0.00   0.00   0.00   0.00 294008.16
40.90 1584223.49   0.00   0.00   0.00   0.00 291880.14
41.00 1585667.55   0.00   0.00   0.00   0.00 289726.68
41.10 1587095.90   0.00   0.00   0.00   0.00 287547.81
41.20 1588508.52   0.00   0.00   0.00   0.00 285343.57
41.30 1589905.39   0.00   0.00   0.00   0.00 283113.98
41.40 1591286.52   0.00   0.00   0.00   0.00 280859.09
41.50 1592651.87   0.00   0.00   0.00   0.00 278578.93
41.60 1594001.45   0.00   0.00   0.00   0.00 276273.53
41.70 1595335.22   0.00   0.00   0.00   0.00 273942.94
41.80 1596653.19   0.00   0.00   0.00   0.00 271587.19
41.90 1597955.34   0.00   0.00   0.00   0.00 269206.33
42.00 1599241.65   0.00   0.00   0.00   0.00 266800.40
42.10 1600512.12   0.00   0.00   0.00   0.00 264369.45
42.20 1601766.73   0.00   0.00   0.00   0.00 261913.52
42.30 1603005.46   0.00   0.00   0.00   0.00 259432.66
42.40 1604228.31   0.00   0.00   0.00   0.00 256926.93
42.50 1605435.27   0.00   0.00   0.00   0.00 254396.37
42.60 1606626.31   0.00   0.00   0.00   0.00 251841.03
42.70 1607801.43   0.00   0.00   0.00   0.00 249260.98
42.80 1608960.63   0.00   0.00   0.00   0.00 246656.27
42.90 1610103.88   0.00   0.00   0.00   0.00 244026.95
43.00 1611231.17   0.00   0.00   0.00   0.00 241373.08
43.10 1612342.50   0.00   0.00   0.00   0.00 238694.73
43.20 1613437.85   0.00   0.00   0.00   0.00 235991.97
43.30 1614517.21   0.00   0.00   0.00   0.00 233264.84
43.40 1615580.58   0.00   0.00   0.00   0.00 230513.42
43.50 1616627.93   0.00   0.00   0.00   0.00 227737.78
43.60 1617659.27   0.00   0.00   0.00   0.00 224937.98
43.70 1618674.57   0.00   0.00   0.00   0.00 222114.10
43.80 1619673.84   0.00   0.00   0.00   0.00 219266.20
43.90 1620657.06   0.00   0.00   0.00   0.00 216394.36
