#   This    is  an  input   file    for the tower   top force   time-series in  the TMD module  of  ServoDyn
#                                                                   
#   it  has an  arbitrary   number  of  header  lines   denoted with    #!% characters                  
!   Another comment line                                                        
#                                                                   
#   Time,   Fx, Fy, Fz, Mx, My, Mz                                      
#   (s) (N) (N) (N) (N-m)   (N-m)   (N-m)                                       
0.0 0.0 0.0 0.0 0.0 0.0 0.0
235.8   1650000.0   0.0 0.0 0.0 0.0 8729094.7
235.9   1650000.0   0.0 0.0 0.0 0.0 8679468.3
236.0   1650000.0   0.0 0.0 0.0 0.0 8735086.8
236.1   1650000.0   0.0 0.0 0.0 0.0 8702307.6
236.2   1650000.0   0.0 0.0 0.0 0.0 8613200.0
236.3   1650000.0   0.0 0.0 0.0 0.0 8854877.2
236.4   1650000.0   0.0 0.0 0.0 0.0 8918229.1
236.5   1650000.0   0.0 0.0 0.0 0.0 9060098.5
236.6   1650000.0   0.0 0.0 0.0 0.0 9088945.8
236.7   1650000.0   0.0 0.0 0.0 0.0 9211200.2
236.8   1650000.0   0.0 0.0 0.0 0.0 9249345.9
236.9   1650000.0   0.0 0.0 0.0 0.0 9385414.0
237.0   1650000.0   0.0 0.0 0.0 0.0 9410478.7
237.1   1650000.0   0.0 0.0 0.0 0.0 9503132.3
237.2   1650000.0   0.0 0.0 0.0 0.0 9469032.1
237.3   1650000.0   0.0 0.0 0.0 0.0 9512607.3
237.4   1650000.0   0.0 0.0 0.0 0.0 9443652.1
237.5   1650000.0   0.0 0.0 0.0 0.0 9461084.3
237.6   1650000.0   0.0 0.0 0.0 0.0 9372203.8
237.7   1650000.0   0.0 0.0 0.0 0.0 9377100.4
237.8   1650000.0   0.0 0.0 0.0 0.0 9283230.9
237.9   1650000.0   0.0 0.0 0.0 0.0 9288763.5
238.0   1650000.0   0.0 0.0 0.0 0.0 9205596.4
238.1   1650000.0   0.0 0.0 0.0 0.0 9233857.2
238.2   1650000.0   0.0 0.0 0.0 0.0 9187622.7
238.3   1650000.0   0.0 0.0 0.0 0.0 9258778.7
238.4   1650000.0   0.0 0.0 0.0 0.0 9254460.2
238.5   1650000.0   0.0 0.0 0.0 0.0 9363526.9
238.6   1650000.0   0.0 0.0 0.0 0.0 9389302.1
238.7   1650000.0   0.0 0.0 0.0 0.0 9521393.6
238.8   1650000.0   0.0 0.0 0.0 0.0 9559253.4
238.9   1650000.0   0.0 0.0 0.0 0.0 9691880.4
239.0   1650000.0   0.0 0.0 0.0 0.0 9719654.6
239.1   1650000.0   0.0 0.0 0.0 0.0 9833913.6
239.2   1650000.0   0.0 0.0 0.0 0.0 9834395.9
239.3   1650000.0   0.0 0.0 0.0 0.0 9908576.4
239.4   1650000.0   0.0 0.0 0.0 0.0 9861543.7
239.5   1650000.0   0.0 0.0 0.0 0.0 9888807.4
239.6   1650000.0   0.0 0.0 0.0 0.0 9802616.7
239.7   1650000.0   0.0 0.0 0.0 0.0 9625328.7
239.8   1650000.0   0.0 0.0 0.0 0.0 9744372.1
239.9   1650000.0   0.0 0.0 0.0 0.0 9669036.9
240.0   1650000.0   0.0 0.0 0.0 0.0 9666950.6
240.1   1650000.0   0.0 0.0 0.0 0.0 9554841.3
